,,Rubric - Research Question Assignment,Date assessed:,(leave blank),
,,Please do not change the name of this file.  The filename associates the file to the group.,Assessed by:,[name of assessor],
,,,,,,,
,,,Select[NA/Yes/No],Navigation,Navigation,Feedback to students,
Section,ID,Question,Yes/No,If No,If Yes,Comments,
Part A,,Submission,,,,,
A,1,Is there a research question file?,"D$row$=\""?\""",Skip to part B,Go to A1.1,,
A,1.1,"Is it named correctly (`research_question.yml`, all lower case, `.yml` extension, no spaces)?","AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part B,Go to A1.1.1,,
A,1.1.1,Is it in syntactically correct YAML format?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part B,Go to B1,,
Part B,,Question Format,,,,,
x,RQ,,,,,,
B,1,"Is the statement an actual *question*? E.g, starts with 'Is there a correlation/difference...', etc., and ends with a '?'","D$row$=\""?\""",Skip to B2,Go to B1.1,,
B,1.1,Is the question (or statement) comprehensible (makes sense)?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to B2,Go to B1.1.1,,
B,1.1.1,"Does the question include both an independent and a dependent variable (one, and only one, of each)?","AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B1.1.1.1,,
B,1.1.1.1,Is it clear from which columns in the dataset the independent and dependent variables are derived?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B1.1.1.1.1,,
B,1.1.1.1.1,Are both the independent and dependent variables interval or ordinal?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to B1.1.1.1.2,Go to B1.1.1.1.1.1,,
B,1.1.1.1.1.1,Is the question about correlation?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to B1.1.1.1.2,Go to B1.1.1.1.1.1.1,,
B,1.1.1.1.1.1.1,Are there at least 8 distinct possible values for the independent variable?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B1.1.1.1.1.1.1.1,,
B,1.1.1.1.1.1.1.1,Is the dependent variable named first?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B1.1.1.1.2,,
B,1.1.1.1.2,"Is the independent variable nominal, or ordinal with less than eight values?","AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B1.1.1.1.2.1,,
B,1.1.1.1.2.1,Are there at least two categories (or values) of the independent variable?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B1.1.1.1.2.1.1,,
B,1.1.1.1.2.1.1,Is the dependent variable interval or ordinal?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to B1.1.1.1.2.1.2,Go to B1.1.1.1.2.1.1.1,,
B,1.1.1.1.2.1.1.1,Is the question about difference between/among means/medians?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to B1.1.1.1.2.1.2,Go to B1.1.1.1.2.1.2,,
B,1.1.1.1.2.1.2,Is the dependent variable nominal?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B1.1.1.1.2.1.2.1,,
B,1.1.1.1.2.1.2.1,Is the question about difference in proportions?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to B2,,
x,null-hypothesis,,,,,,
B,2,Is there a statement of the null hypothesis?,"D$row$=\""?\""",Skip to B3,Go to B2.1,,
B,2.1,Is the null hypothesis stated correctly?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to B3,Go to B3,,
x,alt-hypothesis,,,,,,
B,3,Is there a statement of the alternative hypothesis?,"D$row$=\""?\""",Skip to part C,Go to B3.1,,
B,3.1,Is the alternative hypothesis stated correctly?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part C,Go to C1,,
Part C,,Dataset,,,,,
x,dataset-url,,,,,,
C,1,Are the URLs for the datasets specified?,"D$row$=\""?\""",Skip to part D,Go to C1.1,,
C,1.1,Are the URLs from data.world?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part D,Go to C1.1.1,,
x,columns,,,,,,
C,1.1.1,Are the column headers for each dataset listed in the document?,"AND(D$row$=\""?\"",D$grandparent$=\""Yes\"")",Skip to part D,Go to C1.1.1.1,,
C,1.1.1.1,Is the output of the R colnames() function shown for each dataset?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to C1.1.1.2,Go to C1.1.1.2,,
C,1.1.1.2,Are there CSV files that match the datasets?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part D,Go to C1.1.1.2.1,,
C,1.1.1.2.1,Will the data support statistical analysis of the research question?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Skip to part D,Go to D1,,
Part D,,Presentation,,,,,
D,1,Is the document spelled correctly?,"D$row$=\""?\""",Do not use this column,Go to D1.1,,
D,1.1,Is the document punctuated correctly?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Do not use this column,Go to D1.1.1,,
D,1.1.1,Is the document grammatically correct?,"AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Do not use this column,Go to D1.1.1.1,,
D,1.1.1.1,"Is the research question interesting (not obvious, can't be answered by mathematics or application of natural law (e.g. speed x distance)?","AND(D$row$=\""?\"",D$parent$=\""Yes\"")",Do not use this column,Do not use this column.,,
